id,arabic,english,register,concept_tag,priority
0dc7e80b,السلام عليكم,Hello / Peace be upon you,egyptian,greetings,normal
d984ee6d,وعليكم السلام,And upon you peace,egyptian,greetings,normal
414b5835,صباح الخير,Good morning,egyptian,greetings,normal
b5493e06,صباح النور,Good morning (reply),egyptian,greetings,normal
b9ad361d,مساء الخير,Good evening,egyptian,greetings,normal
cf69f1cf,مساء النور,Good evening (reply),egyptian,greetings,normal
1a5eadb2,إزيك؟,How are you? (to a man),egyptian,greetings,normal
a97f1e17,كويس، الحمد لله,"I'm fine, thanks be to God",egyptian,greetings,normal
913e08ca,اسمك إيه؟,What's your name?,egyptian,greetings,normal
54530d14,اسمي داوود,My name is David,egyptian,greetings,normal
cc5ae71e,تشرفنا,Nice to meet you,egyptian,greetings,normal
24083ab3,أهلاً وسهلاً,Welcome,egyptian,greetings,normal
34ae8e09,أهلاً بيك,Welcome (reply),egyptian,greetings,normal
4005bc81,إنت من فين؟,Where are you from?,egyptian,greetings,normal
79c5d3bc,أنا من إنجلترا,I'm from England,egyptian,greetings,normal
425b2a7e,أبويا عراقي,My father is Iraqi,egyptian,greetings,normal
fed92bd2,بتكلم عربي شوية,I speak a little Arabic,egyptian,greetings,normal
e3ee768f,بتعلم عربي,I'm learning Arabic,egyptian,greetings,normal
cce0e2b4,اتكلم ببطء لو سمحت,Please speak slowly,egyptian,greetings,normal
0916501f,عندك عيلة؟,Do you have family?,egyptian,smalltalk,normal
869866d8,إنت متجوز؟,Are you married?,egyptian,smalltalk,normal
a2d5c6e6,عندك كام ولد؟,How many children do you have?,egyptian,smalltalk,normal
bd6a1d52,عندك كام سنة؟,How old are you?,egyptian,smalltalk,normal
57966a8d,بتشتغل إيه؟,What work do you do?,egyptian,smalltalk,normal
0f7bbe67,بشتغل في الكمبيوتر,I work in computers,egyptian,smalltalk,normal
a22dfc22,بحب مصر أوي,I like Egypt very much,egyptian,smalltalk,normal
7e7af097,الجو جميل,The weather is beautiful,egyptian,smalltalk,normal
f0f1d18c,الأكل هنا لذيذ أوي,The food here is delicious,egyptian,smalltalk,normal
e788adff,أنا هنا في إجازة,I'm here on holiday,egyptian,smalltalk,normal
6466fdde,مصر جميلة أوي,Egypt is very beautiful,egyptian,smalltalk,normal
e400f031,الناس هنا طيبين أوي,The people here are very kind,egyptian,smalltalk,normal
dfd56081,أنا مبسوط إني هنا,I'm very happy to be here,egyptian,smalltalk,normal
1e532702,إن شاء الله نتقابل تاني,God willing we will meet again,egyptian,smalltalk,normal
a0ac96fe,مع السلامة,Goodbye,egyptian,smalltalk,normal
5655533c,عندي حجز لاتنين,I have a reservation for two,egyptian,dining,normal
d436c023,ممكن نقعد برة؟,Can we sit outside?,egyptian,dining,normal
cbc468e8,ممكن نقعد جوه؟,Can we sit inside?,egyptian,dining,normal
0198f74f,اتفضل,Please / Come through / Here you go,egyptian,dining,normal
154efb27,طبعاً,Of course,egyptian,dining,normal
5fdfcfcc,عايزين تشربوا إيه؟,What would you like to drink?,egyptian,dining,normal
18987cf1,ممكن أشوف المنيو الأول؟,Can I see the menu first?,egyptian,dining,normal
9b6071bf,شاي بلبن، بدون سكر,"Tea with milk, no sugar",egyptian,dining,normal
8432d5ba,قهوة بشوية لبن,Coffee with a little milk,egyptian,dining,normal
f1adb3c7,بدون ولا حاجة,Without anything / Nothing at all,egyptian,dining,normal
5e44ba3d,والولاد؟,And the children?,egyptian,dining,normal
e9a050bb,عصير برتقال,Orange juice,egyptian,dining,normal
4cf4f5b8,حاضر,Sure / Right away,egyptian,dining,normal
b1c2ca9e,عايزين تاكلوا حاجة؟,Would you like anything to eat?,egyptian,dining,normal
c6e388f2,الكيك بتاعنا تحفة,Our cake is excellent,egyptian,dining,normal
feb87172,السندوتشات كمان كويسة,The sandwiches are good too,egyptian,dining,normal
923639d8,هاخد الكيك,I'll have the cake,egyptian,dining,normal
e7b7abc7,هي هتاخد زيي,She'll have the same as me,egyptian,dining,normal
e671d4e6,أيوه، أمر حضرتك؟,"Yes, what can I do for you?",egyptian,dining,normal
dec6d152,ممكن شوية مية؟,Some water please,egyptian,dining,normal
3f55e0b7,دي لذيذة أوي,That was really delicious,egyptian,dining,normal
36d2359b,الأكل عجبكم؟,Did you enjoy the food?,egyptian,dining,normal
6850969b,الأجواء هنا حلوة,The atmosphere here is lovely,egyptian,dining,normal
cfa7c7cc,أنا بستمتع أوي,I'm really enjoying it,egyptian,dining,normal
78179dc8,الحساب مية وخمسين جنيه,The bill is 150 pounds,egyptian,dining,normal
379d6ff1,ممكن أدفع بكارت؟,Can I pay by card?,egyptian,dining,normal
05f166f1,آسف، كاش بس,"Sorry, cash only",egyptian,dining,normal
75490afa,خلي الباقي,Keep the change,egyptian,dining,normal
cbfedbf6,هنرجع أكيد,We'll definitely be back,egyptian,dining,normal
4badc4e9,بكام ده؟,How much does this cost?,egyptian,money,normal
3a8ae052,بكام كله؟,How much does it all cost?,egyptian,money,normal
8bf144ef,ده غالي أوي,That's too expensive,egyptian,money,normal
d2fbeba4,تقدر تدي سعر أحسن؟,Can you give me a better price?,egyptian,money,normal
ab6aa2e3,أحسن سعر إيه؟,What's the best price?,egyptian,money,normal
992be3aa,هدي خمسين جنيه,I'll give you fifty pounds,egyptian,money,normal
646312ac,عندك فكة؟,Do you have change?,egyptian,money,normal
7d68f58a,أهلاً، تعال شوف,"Welcome, come in and look",egyptian,shopping,normal
b02d39dd,بتدور على إيه؟,What are you looking for?,egyptian,shopping,normal
3b5d739c,بس بتفرج,I'm just looking,egyptian,shopping,normal
75ad9b66,اتفرج، مفيش مشكلة,"Have a look, no problem",egyptian,shopping,normal
d06560c6,وده؟,And this one?,egyptian,shopping,normal
515d18fc,ده بميتين جنيه,This one is two hundred pounds,egyptian,shopping,normal
54ab0a45,ده غالي جداً,That's very expensive,egyptian,shopping,normal
ba2368ad,لا، ده سعر كويس,"No, this is a good price",egyptian,shopping,normal
de6201c3,ديني سعر كويس وهاخده,Give me a good price and I'll buy it,egyptian,shopping,normal
ee26952c,قول سعرك,What's your price?,egyptian,shopping,normal
f8be46b5,هدي مية جنيه,I'll give you one hundred,egyptian,shopping,normal
63d8c3c5,لا، ده قليل أوي,"No, that's too low",egyptian,shopping,normal
47e31933,هديك سعر خاص، مية وخمسين,"I'll give you a special price, one fifty",egyptian,shopping,normal
25a384f5,شفته أرخص هناك,I saw it cheaper over there,egyptian,shopping,normal
d0db8559,ده جودة أحسن,This is better quality,egyptian,shopping,normal
375a5c9f,آخر كلام مية جنيه,My final offer is one hundred pounds,egyptian,shopping,normal
34b68278,تمام، ماشي,"OK, agreed",egyptian,shopping,normal
fcf26a07,يلا نتفق على مية وخمسين,OK let's agree on one fifty,egyptian,shopping,normal
1fb0ad73,ده جلد أصلي؟,Is this real leather?,egyptian,shopping,normal
d74fba4e,أيوه، مية في المية أصلي,"Yes, one hundred percent genuine",egyptian,shopping,normal
12f6ecd5,عندك مقاس أصغر؟,Do you have a smaller size?,egyptian,shopping,normal
151c6d85,عندك مقاس أكبر؟,Do you have a bigger size?,egyptian,shopping,normal
27291b06,عندك لون تاني؟,Do you have another colour?,egyptian,shopping,normal
b01ca302,هشوفلك,I'll check for you,egyptian,shopping,normal
7733c98b,ممكن أجرب؟,Can I try it?,egyptian,shopping,normal
40043aa4,ده باظ,This is broken,egyptian,shopping,normal
e46ad581,هجيبلك واحد تاني,I'll get you another one,egyptian,shopping,normal
cee3e2e3,تمام، هاخده,OK I'll take it,egyptian,shopping,normal
f7e4c813,هاخد اتنين، ديني خصم,"I'll buy two, give me a discount",egyptian,shopping,normal
5d634ee7,تمام، للاتنين هديك سعر كويس,"OK, for two I'll give you a good price",egyptian,shopping,normal
5b308065,مش عايزه,I don't want it,egyptian,shopping,normal
3f6563f0,هرجع بعدين,I'll come back later,egyptian,shopping,normal
2c0b567e,تمام، إنت عارف مكاني,"OK, you know where to find me",egyptian,shopping,normal
9149e5a7,عايز تاكسي,I want a taxi,egyptian,taxis,normal
67c8aecc,رايح فين؟,Where are you going?,egyptian,taxis,normal
985ac074,بكام للفندق؟,How much to the hotel?,egyptian,taxis,normal
06d72372,بكام للسوق؟,How much to the market?,egyptian,taxis,normal
d9f07f30,بكام للمطار؟,How much to the airport?,egyptian,taxis,normal
a073818b,خمسين جنيه,Fifty pounds,egyptian,taxis,normal
ad28f914,ده غالي أوي، هدي تلاتين,"That's too expensive, I'll give you thirty",egyptian,taxis,normal
6a1bb3a7,لا، أربعين آخر حاجة,"No, forty is the lowest",egyptian,taxis,normal
b6b8ddea,تمام، اتفقنا,OK agreed,egyptian,taxis,normal
0f40721d,وديني على العنوان ده لو سمحت,Please take me to this address,egyptian,taxis,normal
3f65d251,تمام، أنا عارفه,"OK, I know it",egyptian,taxis,normal
1ed78b05,فين بالظبط؟,Where exactly?,egyptian,taxis,normal
723bba52,لف يمين,Turn right,egyptian,taxis,normal
e6d68d10,لف شمال,Turn left,egyptian,taxis,normal
a51751d4,على طول,Go straight,egyptian,taxis,normal
95f0a2c0,وقف هنا لو سمحت,Stop here please,egyptian,taxis,normal
9e7c6600,هياخد قد إيه؟,How long will it take?,egyptian,taxis,normal
56759f16,حوالي عشرين دقيقة,About twenty minutes,egyptian,taxis,normal
7f95b3c0,في زحمة كتير,There's a lot of traffic,egyptian,taxis,normal
b4a624df,أنا مستعجل,I'm in a hurry,egyptian,taxis,normal
0c336f47,متسرعش أوي لو سمحت,Please don't go so fast,egyptian,taxis,normal
7fb41084,تقدر تستناني؟,Can you wait for me?,egyptian,taxis,normal
46ccfe58,قد إيه؟,How long?,egyptian,taxis,normal
21afe7d7,هرجع في عشر دقايق,I'll be back in ten minutes,egyptian,taxis,normal
a40ae6b5,تمام، هستنى,"OK, I'll wait",egyptian,taxis,normal
e1825b7e,شكراً، ربنا يخليك,"Thank you, God bless you",egyptian,taxis,normal
d081a4a8,لو سمحت، فين الفندق؟,"Excuse me, where is the hotel?",egyptian,directions,normal
ca9ae36f,فين السوق؟,Where is the market?,egyptian,directions,normal
fb5fef60,فين الشاطئ؟,Where is the beach?,egyptian,directions,normal
2d7886e7,فين الصيدلية؟,Where is the pharmacy?,egyptian,directions,normal
da224374,فين الصراف الآلي؟,Where is the ATM?,egyptian,directions,normal
d28e1b5b,ده بعيد؟,Is it far?,egyptian,directions,normal
3bb86915,لا، ده قريب,"No, it's close",egyptian,directions,normal
b32f91f6,أيوه، ده بعيد شوية,"Yes, it's a bit far",egyptian,directions,normal
dcec82f6,امشي على طول,Go straight ahead,egyptian,directions,normal
9aa2a55b,وبعدين لف يمين,Then turn right,egyptian,directions,normal
a499cdb1,وبعدين لف شمال,Then turn left,egyptian,directions,normal
c22a2410,هتلاقيه على اليمين,It's on the right,egyptian,directions,normal
3d5662cb,هتلاقيه على الشمال,It's on the left,egyptian,directions,normal
9ebe6bff,ورا الفندق,It's behind the hotel,egyptian,directions,normal
27aea229,قدام المطعم,It's in front of the restaurant,egyptian,directions,normal
a734ed59,جنب الجامع,It's next to the mosque,egyptian,directions,normal
13d7692f,كام دقيقة مشي؟,How many minutes on foot?,egyptian,directions,normal
8807b621,حوالي خمس دقايق,About five minutes,egyptian,directions,normal
03b9c60d,محتاج تاكسي، ده بعيد,"You need a taxi, it's far",egyptian,directions,normal
89fe5c8e,تقدر تورني على الخريطة؟,Can you show me on the map?,egyptian,directions,normal
57c81020,تعال، هوريك الطريق,"Come, I'll show you the way",egyptian,directions,normal
df61dc36,أنا تاهت,I'm lost,egyptian,directions,normal
69604a34,عايز تروح فين؟,Where do you want to go?,egyptian,directions,normal
c0d9b161,ترابيزة لاتنين لو سمحت,A table for two please,egyptian,dining,normal
0012afb0,كام واحد؟,How many people?,egyptian,dining,normal
3a74e612,جوة ولا برة؟,Inside or outside?,egyptian,dining,normal
31a86279,برة لو سمحت,Outside please,egyptian,dining,normal
27314977,اتفضل، اقعد,"Please, sit down",egyptian,dining,normal
d6df070b,اتفضل، المنيو,Here's the menu,egyptian,dining,normal
312f51e8,ممكن المنيو؟,Can I have the menu?,egyptian,dining,normal
1718676c,حضرتك جاهز تطلب؟,Are you ready to order?,egyptian,dining,normal
0927be03,لسة، دقيقة لو سمحت,"Not yet, give us a minute",egyptian,dining,normal
18fbb6a5,بتنصح بإيه؟,What do you recommend?,egyptian,dining,normal
dbe949d1,الفراخ المشوية حلوة أوي,The grilled chicken is very good,egyptian,dining,normal
0cba7214,طبق النهارده كفتة,Today's special is kofta,egyptian,dining,normal
ea789138,عايزين تشربوا حاجة؟,Would you like anything to drink?,egyptian,dining,normal
5f9a7209,مراتي بتفضل أكل نباتي,My wife prefers vegetarian food,egyptian,dining,normal
0d488586,عندنا سلطات وخضار مشوي,We have salads and grilled vegetables,egyptian,dining,normal
b53e7023,عندكم كحول؟,Do you have alcohol?,egyptian,dining,normal
450b1f07,أيوه، عندنا نبيت وبيرة,"Yes, we have wine and beer",egyptian,dining,normal
541e31ce,هي هتاخد كاس نبيت أبيض,She'll have a glass of white wine,egyptian,dining,normal
5fcb4e0d,عندي حساسية من المكسرات,I'm allergic to nuts,egyptian,dining,normal
3d3e9003,مفيش مشكلة، عندنا كتير من غير مكسرات,"No problem, we have plenty without nuts",egyptian,dining,normal
eb93812c,الأكلة دي إيه؟,What is this dish?,egyptian,dining,normal
a465ec0e,دي رز مع لحمة مشوية,It's rice with grilled meat,egyptian,dining,normal
fe26f192,هاخد زيه,I'll have the same as him,egyptian,dining,normal
036e29e0,حاجة تاني؟,Anything else?,egyptian,dining,normal
474e6bf2,خلاص كده، شكراً,"That's everything, thanks",egyptian,dining,normal
91626264,ممكن مية لو سمحت؟,Can I have some water please?,egyptian,dining,normal
d5e55fb9,مية معدنية لو سمحت، مش من الحنفية,"Bottled water please, not tap",egyptian,dining,normal
7131632b,من غير تلج لو سمحت,No ice please,egyptian,dining,normal
c8937c6d,إزازة كبيرة ولا صغيرة؟,Large or small bottle?,egyptian,dining,normal
675c51b4,كبيرة لو سمحت,Large please,egyptian,dining,normal
b4adc65d,كله تمام؟,Is everything OK?,egyptian,dining,normal
a28d6950,ده لذيذ أوي,This is delicious,egyptian,dining,normal
5a028a45,شكراً، الحمد لله عجبكم,"Thank you, glad you like it",egyptian,dining,normal
258cc0ef,ده بارد شوية، تسخنه لو سمحت؟,"It's a little cold, can you heat it up?",egyptian,dining,normal
ab43fa42,إحنا مطلبناش ده,We didn't order this,egyptian,dining,normal
08954cbd,آسف، هصلحها حالاً,"Sorry, I'll fix it right away",egyptian,dining,normal
e1bead07,ممكن واحد تاني من ده؟,Can I have another one of these?,egyptian,dining,normal
abb11ebb,طبعاً، حالاً,"Of course, right away",egyptian,dining,normal
c7ad988e,الحساب لو سمحت,Can I have the bill please?,egyptian,dining,normal
6c30f7be,اتفضل الحساب,Here's the bill,egyptian,dining,normal
64380547,الخدمة داخلة؟,Is service included?,egyptian,dining,normal
3d91205d,أيوه، الخدمة داخلة,"Yes, service is included",egyptian,dining,normal
c723f8b1,لا، الخدمة مش داخلة,"No, service is not included",egyptian,dining,normal
00e59738,شكراً، أهلاً بيكم تاني,"Thank you, come back again",egyptian,dining,normal
95eb7d12,عايز تشتري حاجة؟,Want to buy something?,egyptian,beach_and_vendors,normal
65131cce,عندي أسعار كويسة ليك,I have good prices for you,egyptian,beach_and_vendors,normal
35b5e8c4,لا شكراً,No thank you,egyptian,beach_and_vendors,normal
152bb274,مش عايز حاجة,I don't want anything,egyptian,beach_and_vendors,normal
092ee7c4,يمكن بعدين,Maybe later,egyptian,beach_and_vendors,normal
8034e4de,عندي واحد خلاص,I already have one,egyptian,beach_and_vendors,normal
b84afe6f,بس شوف,Just have a look,egyptian,beach_and_vendors,normal
96bc307a,سيبني لو سمحت,Please leave me alone,egyptian,beach_and_vendors,normal
d50062c0,بكام الكرسي؟,How much for a sunbed?,egyptian,beach_and_vendors,normal
bbeca218,بكام الشمسية؟,How much for an umbrella?,egyptian,beach_and_vendors,normal
1210dfcc,خمسين جنيه للاتنين,Fifty pounds for both,egyptian,beach_and_vendors,normal
d2952495,الشاطئ ده خاص؟,Is this beach private?,egyptian,beach_and_vendors,normal
8e539758,أيوه، لنزلاء الفندق بس,"Yes, for hotel guests only",egyptian,beach_and_vendors,normal
cb959bc6,لا، ده عام,"No, it's public",egyptian,beach_and_vendors,normal
094bb5dd,آمن أنزل أعوم هنا؟,Is it safe to swim here?,egyptian,beach_and_vendors,normal
142a91ce,أيوه، المية هادية,"Yes, the water is calm",egyptian,beach_and_vendors,normal
dde4dbff,خلي بالك، في تيار,"Be careful, there's a current",egyptian,beach_and_vendors,normal
63ccfd51,المية عميقة قد إيه؟,How deep is the water?,egyptian,beach_and_vendors,normal
9b32f267,في منقذ هنا؟,Is there a lifeguard?,egyptian,beach_and_vendors,normal
c36dd73c,فين أستأجر عدة غطس؟,Where can I hire a snorkel?,egyptian,beach_and_vendors,normal
